	Cycle	A4	A5	A6	A7	A8	A9	A10	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	C8	C9	D1	D2	D3	D4	D5	D6	D7	D8	D9	E3	E4	E5	E6	E7	E8	E9	F2	F4	F5	F6	F7	F8	F9	G1	G2	G3	G4	G5	G6	G7	G8	G9	H1	H2	H3	H4	H5	H6	H7	H8	H9
	11	38.4795359406226	15.9274020415542	21.7152704127702	-32.3671893575047	-27.1305491923331	37.089426713057	24.577308777587	-48.3014962095785	-51.983733866191	-32.6318955938241	-45.4450158497675	-29.6304180070601	-33.177310420524	-25.3178648506255	-37.4513402975881	-16.7584672373168	-37.4816779146558	-32.381634416919	-58.8572450691672	-30.3164787462238	-41.783946290072	16.5912977186863	-37.3090455506353	-25.4018995982424	-35.0437037386064	-26.9899514008011	-15.7631547714718	-55.0803026191288	-43.7526627169418	-39.6785271857543	-11.9175605016317	-19.9467225620465	32.9793351822518	-37.748568166935	-58.2588991458406	30.2793391848863	25.1987855788529	24.9252299380023	27.1624327057298	29.2073139254999	41.7186439306788	23.1808977349829	-32.3421636882886	-34.2272622508244	-36.2464607212205	30.5587347783749	-40.8411550161672	-20.5942952940404	17.1476418597667	18.9213670674189	19.9092556438336	-17.2714956761838	-34.3601615430216	24.9678391315447	-33.2562264616017	44.0241554410068	15.1165410970571	-12.9830306215244	6.18715565763341	-6.90147406885171	-30.5783555699691	38.2315661938655	23.3129263580468	-17.7541575083069	-15.5951267918381	22.6859427718264
	12	21.0098469586892	7.05672797765601	11.3606817890131	-39.5433875641538	-36.5599130527835	18.3076274117002	16.857215521014	-44.4882665772384	-46.4112531722667	-33.2052003190311	-47.0054989927221	-41.6167451730435	-30.386653609803	-31.0775148046014	-42.0531744725877	-28.6047535054049	-48.7779527426337	-39.4777412287913	-57.4121790268873	-25.8841195497198	-35.4843891990631	16.3312400342384	-42.7518693288512	-39.3668172133439	-33.0275481954559	-32.9644358423593	-14.3268949328776	-43.1940030849983	-39.7053854865908	-22.394612394397	-10.7402942850658	-28.3210926996153	24.7145770061888	-38.0616307663131	-68.9355750121686	29.2167294150659	24.5842006684024	15.1845449629309	22.9448446485712	24.3859933577924	36.3439773073414	22.2094418159522	-37.5020830253416	-31.7092400615402	-35.3693956458919	30.6015703410303	-38.3337930817261	-30.3774705107153	16.1184501812877	21.0200203762124	28.5168076417749	-17.6250240401714	-32.3879007980977	20.4518030362142	-25.150803700476	34.2030299036005	11.5484274173577	-12.7447317682436	8.66962215202238	-18.1507076983944	-26.7616557083466	33.5004686013554	27.2991979631843	-16.5826580734238	-28.3786690320767	4.88477509735003
	13	17.1521849762576	6.96175474546544	10.5055147817466	-41.492372098247	-22.1249234498109	17.6869719050846	15.640102134379	-40.8623265416918	-61.4524414753887	-36.0429541569501	-52.2248772538687	-47.4162579218755	-41.5321130806133	-34.6198194590452	-38.6536357838213	-30.255552628515	-46.8167846005999	-34.4178682390711	-70.8133223873065	-41.2897525299013	-36.7989879673296	20.2743259541412	-47.6214924168435	-40.5066027572821	-26.7169634344991	-35.2622367430613	-24.4220317974887	-42.3394144309241	-47.4389667194519	-21.7295072760244	-6.64920317268297	-34.4142045874123	9.9666326987508	-43.0837270354168	-71.0067426508385	22.9854121109984	19.6292161258743	12.8912452593268	20.9570348041198	12.7918863212726	20.5148083287777	14.8712860288651	-35.0021969980389	-37.2272200040406	-35.4300562149601	20.7832531339554	-47.1625009360714	-27.8356284331476	8.25156944769424	22.1821982430693	22.3973004306636	-22.7027026935093	-24.5984155047963	16.1015766811806	-18.5204538970556	29.9630839431948	5.55659442498472	-6.37253718554894	8.63554812491384	-16.3109071056851	-22.9624894374383	18.9731897841466	12.289078035079	-28.6254176496686	-33.07031022093	-5.50510678113551
	14	5.97634090962492	0.402697211980922	3.67118847375423	-37.0368941454644	-29.7303673171746	14.361023928489	10.4547066843479	-41.677140908746	-64.8068667795978	-42.427753181968	-46.4789398583425	-58.6027175784093	-44.9871128167815	-37.8040434933109	-46.123208134215	-38.0294080522226	-46.4570374524928	-34.4040873973818	-47.1572867501	-47.3475793383022	-35.6674139017823	8.49678963173938	-49.7015337758212	-46.7704845122071	-28.6713250787989	-36.3892670356454	-24.0131792349275	-41.6150192558771	-34.2726525186981	-17.7771761263957	-14.4774092395091	-27.9635326929993	7.6161485183502	-46.0142196763418	-74.2598504954221	14.9142875636153	9.08873569199932	0.178014513009657	14.8703441243888	16.3677083085395	14.3358320892557	13.4909705647151	-45.750262251544	-39.1149836660188	-42.731210606813	12.2147274181643	-43.8293640248021	-35.4785256192481	7.07555882688666	16.3920227116205	7.89579719927406	-33.9834721627913	-23.4563731521694	4.06444920553258	-12.7827270521466	22.4657431130336	-6.17594550005924	-14.4976738234727	9.5258592194532	-14.7852147391686	-23.9208947739853	20.7204852889308	12.579780045613	-36.0777724940717	-41.1511066983703	-13.0814571469755
	15	6.13064149023376	1.16472375850663	-2.95241704520868	-41.9936114360598	-17.61780846282	8.74885294683099	6.74191785951098	-43.0699741068211	-68.5685880533465	-39.3096299572189	-54.8376374989648	-65.4123308461167	-46.5231875898771	-47.811816411262	-44.7986019997988	-45.5013279009054	-54.1017536099325	-39.7007631070328	-44.9650170381829	-52.2235161656354	-40.581380251162	8.40694040648577	-46.2355210346113	-47.6195248804852	-29.3774587158532	-40.4332193615774	-29.032338108329	-37.8273681662167	-33.0925465328864	-17.3597837686793	-14.9977012756417	-40.9425857741999	2.2155784726483	-43.6084034469022	-67.5222564860014	4.17598414025997	16.7014610094484	-5.10925953838796	11.7147210865242	9.29774043331145	8.48561930299002	6.01048336996064	-39.0426465877845	-36.9414943431093	-42.7898134349416	9.39126988109092	-37.105671084475	-44.1603933623774	4.52010748529392	0.454080293603511	6.36679254259525	-32.1839437648241	-13.7055085643442	2.05704595222687	-13.5783202264029	13.5899371212954	-1.03131111846506	-9.93663851437395	3.53994123304892	-20.7127947254103	-29.0703024701452	15.5013124859879	5.51086338740242	-41.3751170469513	-53.3721764565826	-16.5038764031233
	16	-10.0532357731108	-1.45161123392154	-8.49754185920119	-28.4166548840258	-22.3970573032284	-0.149977008183669	-2.76813156169555	-42.5970503186863	-66.5462187800395	-43.4204004672811	-46.4635435958044	-71.3005284414176	-47.6505030546195	-44.3319954924282	-36.8889712081709	-37.9613426495598	-53.7937110998737	-40.5420599115723	-43.4712477195326	-54.7859143300675	-40.7629088802241	1.24428691978119	-56.1629606665711	-58.0231921365785	-22.2625341785551	-49.6964134528534	-42.2413165368835	-43.3065539978688	-30.0061978537115	-24.3561536157777	-10.1553443427802	-47.269300612802	-14.712199180407	-47.1442305766868	-61.3499990378932	-3.89416484791582	1.41586058554549	-14.590462627024	3.0779186358368	-3.21584782521404	-5.31637659156422	-1.10124244398867	-49.6326712495138	-48.5165609452542	-53.6527344969381	-4.63258292849787	-46.7850306754644	-45.2046080623459	0.11158142720069	-0.0641732752392272	2.1423177928973	-34.8412576107803	-15.6798901031934	-0.962499979873428	-22.8505473631067	0.572394509971673	5.45422939517812	-8.51885497498552	3.37811172124657	-19.9104795119792	-30.053584566509	9.08610409345329	-4.63496701434451	-43.7667584973851	-51.8715181679736	-23.1871023136036
	17	-4.9811775078806	-7.31269351903939	-10.2033226577441	-30.1111892492681	-28.5163519999778	-3.46088274353133	-0.222914360195318	-44.2523275273679	-71.2790767300958	-40.3524415900783	-50.9424325537893	-79.7904699675491	-56.703152974882	-47.3444857447994	-49.4430938130054	-44.0250138022129	-56.6128814246558	-37.0699396654181	-34.0217186785467	-66.1649511213582	-40.5625640212656	-1.46150994981508	-53.0238074310573	-58.4624839361568	-34.2320029466837	-48.6907864674322	-30.3285366469245	-43.1323375108677	-36.1983988595748	-19.2189350523786	-7.37523679728838	-45.9568678425758	-13.4077159602621	-48.6274941616093	-67.9127500593077	-7.09911889915929	-1.09083378941432	-7.78274510543997	-4.79510545446919	-7.77329565487253	-8.72043356067388	-6.22664145786985	-53.898015939043	-46.0902558452417	-50.9357785309785	-10.4645820664773	-43.1611594021597	-44.9727069752626	-2.98141507607215	-1.06829806296446	-2.39482841162317	-41.6895866601299	-18.3610507538187	-5.45367506630009	-13.2198422658812	-11.8134990247781	4.19866943439956	4.20562506169608	0.0496534630765382	-35.7599740423066	-31.0229883951761	1.10882291043526	-5.83966206696459	-57.6988825147637	-60.6333317003136	-5.94521313254882
	18	-6.82865012307957	-4.24193093440863	-3.95009581175964	-19.3124524951463	-31.0384121424731	-6.21304178677565	-3.97821263228161	-52.9437654253234	-62.4790742682699	-38.6963460252255	-46.660338095443	-86.3675536163719	-55.1937468420438	-52.6111078770637	-38.593743325463	-43.2720502066968	-54.5072527151351	-39.768175242556	-27.3522689121028	-56.6254928464114	-34.0711501938376	-11.4401395479745	-48.3519071285091	-60.4719766217204	-28.3423479749881	-51.9768957525148	-25.9796662778499	-38.6784523517226	-31.9994116637863	-27.9543764142727	-16.2069679638244	-42.8899844538109	-17.5376866312045	-45.8577657137284	-44.8144269974428	1.29605772511968	-9.00716848846332	-16.8459350589501	-7.1262093899295	-7.72356519746063	-11.7482330195035	-9.09681038276358	-49.3505466623228	-47.2593215105844	-46.0036051256193	-4.2886717883539	-32.8523207229009	-49.1759475966992	-4.85736372854262	-4.14096564058218	0.147185729962075	-41.076798404235	-21.5090545712274	-17.4015376228281	-8.20892500102036	-7.40457504291589	1.17697649448382	1.45442777191784	-1.64143648976551	-20.6857382388398	-21.4023831184022	-0.801334691043849	-12.3225346000181	-50.1571708080555	-51.1436664943731	-3.61332273927565
	19	-8.56550908278132	0.689110083591004	-8.81034740455925	-19.8109499630427	-16.4148810711058	-4.17349530903539	-1.24861730622979	-47.5916051908043	-61.3215063366379	-33.9865227175469	-33.828907534421	-82.0674298437898	-49.918360832773	-44.8978161667437	-36.990551398334	-40.0420582745301	-49.6760905007532	-40.4353549195366	-27.0910440978014	-57.3060594756689	-33.6737439610843	-13.6849889817486	-35.1040114127154	-64.631078446695	-31.0054698948752	-50.3542308001479	-35.637476492082	-34.863449439852	-42.6874784148167	-25.6418938234801	-5.49995717476577	-43.0760116904676	-27.1419096379368	-37.5869031268385	-38.1539569501119	-9.91335925198564	-3.42989490063883	-7.35738385935838	-7.09964536113239	0.401742625213956	-10.3813204206799	-10.1082781683235	-44.8095193247682	-36.7768512111816	-48.2161508549543	-1.07723717683621	-19.8172308490284	-41.8058832615052	-5.35976437850604	-2.25304746727943	-3.83877028605093	-41.5893601216176	-19.8006890820816	-17.7119587961943	-11.3819472274909	-5.59364462666599	-1.28730382791218	4.85938869966321	2.28680091737715	-21.6423438136453	-10.4489897352332	0.132628565271261	-9.68938317423817	-57.7398671929514	-66.9651133432035	0.86483731293356
	20	-3.24562249329119	-7.23768146017665	-0.777639154981443	-28.8947704850962	-22.8364838389844	-9.57738439968307	-4.52825784250308	-54.8480370114248	-61.7980319758426	-33.1156001295249	-31.2379286191062	-81.0301326181188	-45.6966851574416	-44.8353791552008	-33.0509588055984	-40.7709128742263	-52.6678770133658	-35.3876885621103	-28.9088105123246	-64.297496446582	-26.3629778690492	-12.3036949206207	-43.0203357364007	-66.5966463290752	-27.7815632605843	-51.7963667170707	-34.9915630418618	-37.7271610335811	-40.7049749800326	-27.2097644550122	13.473374892872	-51.5582246001977	-26.798387064131	-25.6386544996894	-37.5150713324801	-14.4612517179585	-8.55407060905327	-6.09963118108863	-10.0055252416278	0.849921790106237	-13.7731240015855	-11.4495712641346	-49.1823051508818	-34.2872807047261	-51.6784797614546	-12.5890250245984	-21.124341312875	-49.8297363185156	-0.331218433405411	-12.4727495848128	-5.53849780421206	-44.5095871742587	-15.7148968178772	-23.4796550185711	-20.6419798740899	-16.5737318310876	-8.26204149321711	16.0834934026543	-1.50362107035198	-30.3561208992933	-18.4392258464759	-1.74818062626673	-5.95398159857723	-64.4566503941633	-79.8295643994061	20.5895113962979
	21	-12.9869491376276	1.83265614055017	-13.8394234099269	-27.9870046884271	-16.3091178882114	-18.9079874557456	-12.4849442226814	-51.9933137261705	-53.3203606636835	-26.6302614337264	-30.3273511847019	-76.9007345551418	-47.0463262960184	-45.1011906922276	-31.5936204135851	-44.9283481696066	-46.8518948162955	-43.6135055653012	-30.9484463973686	-60.4036727128678	-28.4761805126209	-15.6265427720064	-40.1699566703019	-63.394672679392	-23.0572658388437	-47.4782367827956	-31.4120152325704	-32.7805119169834	-37.6308349234951	-29.3141318514754	12.0341910512379	-45.4875079739249	-20.1571164023626	-34.2854578657461	-36.7303973072894	-12.9601153979665	-11.0876001486649	-8.09828883690807	-20.1647831865839	-13.3041097818859	-19.4117089996535	-8.64953181065357	-52.2125987252257	-44.5198402669685	-46.2143558221669	-13.900776985286	-18.170686593513	-48.4135159323087	-4.31734338592196	-14.3568373179105	-20.8677769413489	-39.4097616766494	-10.5237864527171	-15.4568542975103	-21.9868117867145	-22.2551064295576	-5.82219170810367	6.71252928189642	-5.06768149764594	-30.9322649286978	-13.7425848270505	-5.24228286994276	-9.82683838248704	-56.9889119019335	-74.6457674226795	1.75083071506288
	22	-10.730763848589	-2.59964337367001	-12.1186074995439	-30.2515752487434	-23.5227582983161	-10.2217867470781	-11.8221349990326	-47.447889711877	-53.8632510854313	-26.0369583035099	-17.1442374190483	-66.7430002154679	-41.787733007779	-41.4926230829578	-22.397283231222	-44.4104602433772	-39.8158406209386	-41.8134510428017	-27.1948644216909	-62.4153387605656	-11.8750972965408	-12.3541317760046	-29.0428216503678	-63.1286532771455	-33.0185104115244	-44.7035945258322	-39.6808896485854	-37.8553621439887	-40.1329630375458	-27.7949061675172	21.8430349455684	-48.071027173165	-9.1546595343907	-22.9034998160523	-31.4541332980589	-17.4300370410665	-14.1641257691845	4.04182050810596	-15.9089875682148	-11.2940198198085	-13.7497667862544	-11.9508070656093	-50.4882622792666	-33.4493885317952	-49.3899564096046	-16.6867520756878	-10.278284061621	-44.6097639081545	-3.10273013466485	-11.7234955913846	-18.8881689873879	-42.2260719709548	-16.6135740302752	-14.6000076871505	-18.9187038118025	-25.1141137681325	-9.6321686101337	6.80115177334574	-9.3332326439704	-26.1618685535323	-9.40343328600829	-10.7002617780399	-11.3254398676327	-52.2856898109239	-83.5303395844194	7.52792182798748
	23	-16.9258903763466	-3.36192809038948	-6.29456529795607	-26.3614338572725	-20.1253576328827	-20.5663954490547	-8.35822250671572	-36.906219333061	-36.5806968935367	-3.75397442824942	-11.5831684935283	-55.3213629951724	-43.4681905437283	-39.4190707631406	-23.0979380136032	-42.4828671183941	-42.2818007201822	-34.978560215447	-28.0663384039917	-57.970782910118	-1.59375341469513	-6.43843851387828	-29.4800213022709	-68.6823279283008	-15.4929057809723	-39.0997540595363	-36.6819273875208	-32.9106978330747	-36.9817396710077	-25.590777119477	21.3364007383543	-46.9712975372422	-11.2953984849682	-21.9956547512274	-35.5871955486882	-16.1162820029103	-12.3881711960485	-0.207458545472036	-16.1076906451881	-10.1366091103537	-20.847719800161	-13.8052443050792	-44.6869411201824	-35.5732375222233	-45.4136463514724	-19.78726842797	-5.92032220184774	-48.349448701143	-9.94234974028041	-13.8850786469056	-19.6820897804801	-44.2917091569716	-19.4015719489935	-19.5267718718205	-29.2445348936617	-28.4438656596849	-9.14046387336657	8.19308299371005	-6.117676176028	-26.5551011500875	-12.9899951301904	-14.4609735643107	-11.3108211130984	-48.2625416860228	-81.1872859192927	6.52391384965176
	24	-11.9060334596988	-10.1829680862947	-14.2697881373597	-20.4188085224005	-18.3045807152293	-15.7406620872489	-17.2880346335251	-21.893100014212	-16.1675448854057	12.656220006299	-2.14230602272619	-50.5749226496928	-37.9957507349409	-41.051158560992	-15.4219028570578	-28.4231983958434	-36.9243380629459	-31.9127681225473	-36.5851558394688	-55.1417868163453	-13.6435195740733	-18.0028158478863	-22.2001200651175	-64.6652809293455	-17.1960830690041	-35.6367053152853	-35.4554331825111	-34.2212900283557	-39.8619315900487	-29.4960324468857	15.9276654723917	-35.2228284943376	-1.01334175443844	-5.66814433140462	-28.2160365685022	-15.4824227920226	-29.3409617514308	-11.2768681038897	-27.8176071273956	-17.9148794466191	-27.683323256334	-17.5365789141342	-34.6125489237929	-29.5988348221726	-33.2718223646025	-24.6588427826491	3.8280976795304	-46.7625115879491	-10.3662244913376	-14.7184931326337	-17.9225009838565	-36.3261832875851	-22.3466327894257	-19.809888924342	-24.3199406010999	-27.8026492540912	-20.8584253700774	7.82701522321531	-8.56472469018354	-27.5390323353568	-15.1022754372498	-21.781224499282	-22.0321113001464	-41.9781561351501	-55.8533124995283	3.65464843399423
