	Well	Fluor	Target	Content	Sample	End RFU	Call	Sample Type	CallType	Is Control
	F04	FAM		Unkn	579	7152.92362320524	(+) Positive	Unknown	Positive	False
	F05	FAM		Unkn	579	7385.28744977561	(+) Positive	Unknown	Positive	False
	F06	FAM		Unkn	579	6113.75437225957	(+) Positive	Unknown	Positive	False
	F07	FAM		Unkn	580	3058.19520104686	(+) Positive	Unknown	Positive	False
	F08	FAM		Unkn	580	4984.23588978919	(+) Positive	Unknown	Positive	False
	F09	FAM		Unkn	580	2610.80784914608	(+) Positive	Unknown	Positive	False
	G04	FAM		Unkn	582	3907.74589055818	(+) Positive	Unknown	Positive	False
	G05	FAM		Unkn	582	13.5038296272201		Unknown	NoCall	False
	G06	FAM		Unkn	582	4191.72063480878	(+) Positive	Unknown	Positive	False
	G07	FAM		Unkn	583	12.0340390206842		Unknown	NoCall	False
	G08	FAM		Unkn	583	17.3235037787956		Unknown	NoCall	False
	G09	FAM		Unkn	583	2114.25517043741	(+) Positive	Unknown	Positive	False
	H01	FAM		Neg Ctrl	nc_mm	9.18059695671363		ControlNegative	Negative	True
	H02	FAM		Neg Ctrl	nc_mm	18.584030289439		ControlNegative	Negative	True
	H03	FAM		Neg Ctrl	nc_mm	14.2281938183354		ControlNegative	Negative	True
	H04	FAM		Unkn	586	10241.3985457346	(+) Positive	Unknown	Positive	False
	H05	FAM		Unkn	586	10588.3078899563	(+) Positive	Unknown	Positive	False
	H06	FAM		Unkn	586	9977.03503434516	(+) Positive	Unknown	Positive	False
	H07	FAM		Unkn	587	10202.7804110153	(+) Positive	Unknown	Positive	False
	H08	FAM		Unkn	587	9857.96252971232	(+) Positive	Unknown	Positive	False
	H09	FAM		Unkn	587	9816.88181660103	(+) Positive	Unknown	Positive	False
