	Well	Fluor	Target	Content	Sample	Cq	SQ
	C07	FAM	NA	Neg Ctrl	nc_plt	NaN	NaN
	C08	FAM	NA	Neg Ctrl	nc_plt	NaN	NaN
	C09	FAM	NA	Neg Ctrl	nc_plt	NaN	NaN
	C10	FAM	NA	Unkn	584	NaN	NaN
	C11	FAM	NA	Unkn	584	NaN	NaN
	C12	FAM	NA	Unkn	584	NaN	NaN
	D01	FAM	NA	Std	oncgor_std4	31.4392574802538	0.0154
	D02	FAM	NA	Std	oncgor_std4	31.1591290457	0.0154
	D03	FAM	NA	Std	oncgor_std4	31.231724072406	0.0154
	D04	FAM	NA	Unkn	578	24.351168135907	2.32837381880285
	D05	FAM	NA	Unkn	578	24.2055427945924	2.57571297991507
	D06	FAM	NA	Unkn	578	24.3500443243281	2.33018854797752
	D07	FAM	NA	Neg Ctrl	nc_ext	NaN	NaN
	D08	FAM	NA	Neg Ctrl	nc_ext	NaN	NaN
	D09	FAM	NA	Neg Ctrl	nc_ext	NaN	NaN
	D10	FAM	NA	Unkn	584	37.3879587567605	0.000276660013559978
	D11	FAM	NA	Unkn	584	NaN	NaN
	D12	FAM	NA	Unkn	584	NaN	NaN
	E01	FAM	NA	Std	oncgor_std5	36.5113566430072	0.00154
	E02	FAM	NA	Std	oncgor_std5	34.1784638524416	0.00154
	E03	FAM	NA	Std	oncgor_std5	35.5965609749801	0.00154
	E04	FAM	NA	Unkn	579	32.0027026609528	0.0115700415281056
	E05	FAM	NA	Unkn	579	32.3659840839765	0.00899411512973278
	E06	FAM	NA	Unkn	579	32.1364232462908	0.0105456762079372
	E07	FAM	NA	Unkn	579	32.3386930672573	0.00916590178995013
	E08	FAM	NA	Unkn	579	32.9230485875834	0.00611276802519995
	E09	FAM	NA	Unkn	579	32.8484958787505	0.00643701000104102
	E10	FAM	NA	Unkn	546	NaN	NaN
	E11	FAM	NA	Unkn	546	NaN	NaN
	E12	FAM	NA	Unkn	546	NaN	NaN
	F01	FAM	NA	Std	oncgor_std6	37.200483851478	0.000154
	F03	FAM	NA	Std	oncgor_std6	NaN	0.000154
	F04	FAM	NA	Unkn	580	33.0031262410809	0.00578266721848866
	F05	FAM	NA	Unkn	580	32.906383970132	0.00618379785694961
	F06	FAM	NA	Unkn	580	33.2245656968956	0.00495972262473674
	F07	FAM	NA	Unkn	580	33.0095763037679	0.00575686732398283
	F08	FAM	NA	Unkn	580	33.0613393659172	0.00555394327693447
	F09	FAM	NA	Unkn	580	32.8211972526859	0.00655999082575199
	F10	FAM	NA	Unkn	547	NaN	NaN
	F11	FAM	NA	Unkn	547	NaN	NaN
	F12	FAM	NA	Unkn	547	NaN	NaN
	G01	FAM	NA	Std	oncgor_std7	NaN	1.54E-05
	G02	FAM	NA	Std	oncgor_std7	NaN	1.54E-05
	G03	FAM	NA	Std	oncgor_std7	NaN	1.54E-05
	G04	FAM	NA	Unkn	581	33.6252247424155	0.00375687970802192
	G05	FAM	NA	Unkn	581	33.6885503696056	0.0035955162943041
	G06	FAM	NA	Unkn	581	34.4138088990782	0.00217470830631021
	G07	FAM	NA	Unkn	581	33.0970657823266	0.00541807433963894
	G08	FAM	NA	Unkn	581	33.3256328529594	0.00462411016182682
	G09	FAM	NA	Unkn	581	32.8493272748245	0.00643330094475685
	G10	FAM	NA	Unkn	548	NaN	NaN
	G11	FAM	NA	Unkn	548	NaN	NaN
	G12	FAM	NA	Unkn	548	NaN	NaN
	H01	FAM	NA	Neg Ctrl	nc_mm	NaN	NaN
	H02	FAM	NA	Neg Ctrl	nc_mm	NaN	NaN
	H03	FAM	NA	Neg Ctrl	nc_mm	NaN	NaN
	H04	FAM	NA	Unkn	582	NaN	NaN
	H05	FAM	NA	Unkn	582	NaN	NaN
	H06	FAM	NA	Unkn	582	NaN	NaN
	H07	FAM	NA	Unkn	582	NaN	NaN
	H08	FAM	NA	Unkn	582	NaN	NaN
	H09	FAM	NA	Unkn	582	NaN	NaN
	H10	FAM	NA	Unkn	549	NaN	NaN
	H11	FAM	NA	Unkn	549	NaN	NaN
	H12	FAM	NA	Unkn	549	NaN	NaN
