oncgor_min,oncgor_max,salalp_min,salalp_max,salsal_min,salsal_max,saltru_min,saltru_max,oncgor_mean,salalp_mean,salsal_mean,saltru_mean
3.23885020555856,11.6021927403335,0.000166758973569616,0.00427926046612212,0.00723953738738354,0.0309915651986617,0.00276658937079446,0.0257577526076941,7.20469633338132,0.0011053427955473,0.0188597849575904,0.011722588566772
3.24216328862056,11.6178132925441,0.000166722926055499,0.00427831590582405,0.00724419575989849,0.030999220790768,0.002766241148118,0.0257564824428794,7.21476280066221,0.00110561607236423,0.0188730371310789,0.0117279642882284
3.24546332148086,11.6334092677965,0.000166686790124883,0.00427737113124921,0.00724882540818632,0.0310068563019952,0.00276589064846377,0.0257551738747004,7.22481325073983,0.00110588679958151,0.018886236519868,0.011733300091967
3.24875047751077,11.6489807144902,0.000166650581204463,0.00427642616476263,0.00725342715548809,0.0310144718356109,0.00276553814511225,0.0257538277119456,7.23484771569781,0.00110615481885496,0.0188993837092856,0.0117385968464377
3.25202492652127,11.6645276809367,0.000166614313248701,0.00427548102840468,0.00725800179330161,0.0310220674940858,0.00276518388654695,0.0257524447482331,7.24486622755923,0.00110641996378832,0.0189124792752435,0.0117438553971287
3.25528683484305,11.6800502153594,0.000166577998878609,0.00427453574389559,0.00726255008264574,0.0310296433791038,0.00276482809869101,0.0257510257622975,7.25486881828704,0.00110668205952686,0.0189255237844046,0.0117490765671944
3.25853636540444,11.6955483658936,0.000166541649507405,0.00427359033263953,0.00726707275527345,0.0310371995915674,0.0027644709869413,0.0257495715182682,7.26485551978373,0.00110694092233057,0.0189385177943463,0.0117542611580644
3.2617736778075,11.7110221805862,0.000166505275454329,0.00427264481572876,0.0072715705148361,0.0310447362316054,0.00276411273801896,0.0257480827659434,7.27482636389124,0.00110719635912567,0.0189514618537197,0.011759409950037
3.26499892840274,11.7264717073962,0.000166468886047719,0.00427169921394791,0.00727604403800162,0.0310522533985814,0.00276375352165293,0.0257465602410604,7.28478138239134,0.00110744816703351,0.0189643565024089,0.0117645237028558
3.26821227036156,11.7418969941938,0.000166432489718354,0.00427075354777784,0.00728049397552681,0.031059751191099,0.00276339349211128,0.0257450046655579,7.29472060700514,0.00110769613287562,0.0189772022716835,0.0117696031562695
3.27141385374758,11.7572980887615,0.000166396094084008,0.00426980783739982,0.00728492095328759,0.031067229707011,0.00276303278959445,0.0257434167478362,7.30464406939347,0.00110794003265375,0.0189899996843522,0.0117746490305784
3.27454326545145,11.7726750387928,0.000166359706026019,0.00426886210269934,0.00728932557326705,0.0310746890434244,0.00276267154150264,0.0257417971830097,7.3145518011565,0.00110817963100364,0.0190027492549102,0.0117796620271627
3.27758137077067,11.7880278918933,0.000166323331758644,0.00426791636327015,0.00729370841450467,0.0310821292967092,0.00276230986358902,0.025740146653157,7.32444383383412,0.00110851919619257,0.0190154514896865,0.0117846428289993
3.28060773771519,11.80335669558,0.000166286976891885,0.00426697063841802,0.00729807003400681,0.0310895505625042,0.00276194786100869,0.025738465827565,7.33432019890568,0.00110885935877053,0.0190281068869869,0.0117895921011621
3.28362254606077,11.8186614972812,0.000166250646488374,0.0042660249471645,0.00730241096762095,0.0310969529357237,0.00276158562927314,0.0257367553629675,7.3441809277899,0.00110920011793676,0.0190407159372349,0.0117945104913094
3.28662597111245,11.8339423443371,0.000166214345114927,0.00426507930825081,0.00730673173087519,0.0311043365105651,0.0027612232551187,0.0257350159037818,7.35402605184518,0.00110954147276274,0.0190532791231103,0.0117993986301577
3.28961818382506,11.849199283999,0.000166178076889215,0.00426413374014136,0.00731103281978348,0.0311117013805145,0.00276086081729657,0.025739607012276,7.36385560236925,0.00110988342218536,0.0190657969196846,0.0118042571319423
3.29259935092073,11.86443236343,0.00016614184552206,0.00426318826102756,0.00731531471161932,0.0311190476383546,0.00276049838729175,0.0257516625172322,7.37366961059945,0.00111022596499972,0.019078269794555,0.0118090865948657
3.29556963500284,11.8796416297044,0.000166105654355735,0.00426224288883134,0.00731957786565793,0.0311263753761699,0.0027601360299771,0.0257636887740716,7.38346810771259,0.00111032109333533,0.0190906982079747,0.0118138876015327
3.29852919466701,11.894827129808,0.000166069506398664,0.00426129764120865,0.00732382272388883,0.0311336846853539,0.00275977380420849,0.0257756859276891,7.39325112482488,0.0011105690998516,0.0191030826129814,0.0118186607193743
3.30147818460907,11.9099889106381,0.00016603340435686,0.0042603525355531,0.00732804971170028,0.0311409756566156,0.0027594117633664,0.0257876541218049,7.40301869299214,0.00111091282522945,0.0191154234555243,0.0118234065010596
3.3044167557299,11.9251270190032,0.000165997350662392,0.00425940758899927,0.0073322592385357,0.0311482483799851,0.00275904995584862,0.0257995934989758,7.41277084320957,0.00111125713945608,0.0191277211745867,0.0118281254848961
3.30734505523758,11.9402415016234,0.000165961347499193,0.00425846281842626,0.00733645169852451,0.0311555029448211,0.00275868842551874,0.0258115042006078,7.42250760641198,0.00111160204067986,0.0191399762023088,0.0118328181952199
3.31026322674648,11.95533240513,0.000165925396826418,0.00425751824046094,0.00734062747108712,0.0311627394398154,0.00275832721211408,0.0258233863669674,7.43222901347358,0.00111194752686549,0.0191521889641064,0.0118374851427737
